"REGION","NUTS","ANNEE","PERIODE","LNG_CENTRE","LAT_CENTRE"
"UK","NUTS 0",2004,NA,-1.19389681640625,52.4371974804687
"LU","NUTS 0",2004,NA,6.123113046875,49.707540703125
"DE","NUTS 0",2004,NA,9.63508989257813,51.1578444238281
"AT","NUTS 0",2004,NA,15.3497915429687,47.7332072851562
"CH","NUTS 0",2004,NA,7.517543203125,46.715787578125
"PL","NUTS 0",2004,NA,20.4282745410156,51.9017188769531
"BE","NUTS 0",2004,NA,4.58859423828126,50.7717741601562
"CZ","NUTS 0",2004,NA,14.276065859375,49.769946015625
"SI","NUTS 0",2004,NA,14.89244390625,46.02948421875
"RO","NUTS 0",2004,NA,24.3751818066406,45.7724254003906
"HR","NUTS 0",2004,NA,16.3019244140625,45.7782042578125
"BG","NUTS 0",2004,NA,25.2096502539063,42.5016140429687
"IT","NUTS 0",2004,NA,10.9185986523438,45.0986917382813
"GR","NUTS 0",2004,NA,21.6439572949219,39.8334537792969
"FR","NUTS 0",2004,NA,2.49396247070312,46.7023439160156
"SK","NUTS 0",2004,NA,18.7316519140625,48.7424722265625
"LI","NUTS 0",2004,NA,9.56630875,47.10596125
"HU","NUTS 0",2004,NA,20.513069921875,47.259595546875
"TR","NUTS 0",2004,NA,33.093808359375,39.058030703125
"MT","NUTS 0",2004,NA,14.4207328125,35.8964271875
"CY","NUTS 0",2004,NA,33.2225259375,35.0281053125
"PT","NUTS 0",2004,NA,-7.7866684765625,40.6932043359375
"ES","NUTS 0",2004,NA,-3.4566160546875,39.9763433984375
"NL","NUTS 0",2004,NA,5.3139093359375,52.2084679296875
"NO","NUTS 0",2004,NA,9.93425523925781,61.5455551708984
"EE","NUTS 0",2004,NA,26.476965703125,58.644780078125
"LV","NUTS 0",2004,NA,26.632762578125,56.630552109375
"SE","NUTS 0",2004,NA,18.2856625292969,65.6381764941406
"DK","NUTS 0",2004,NA,9.00452044921875,55.9203173632813
"LT","NUTS 0",2004,NA,24.12659140625,55.10888296875
"IE","NUTS 0",2004,NA,-7.87042157226563,53.1045666308594
"FI","NUTS 0",2004,NA,27.4340109179687,63.2870475195312
"IS","NUTS 0",2004,NA,-18.7948375585937,64.6515419726563
