"PAYS","REGION","NUTS","ANNEE","NB_OBS","warm_moy","leaking_moy","warm_na","leaking_na","PERIODE","rowname","ANNEES_PRESENTES"
"UK","UK","NUTS 0",2004,NA,NA,NA,NA,NA,NA,NA,NA
"LU","LU","NUTS 0",2004,3571,0.9961,0.1499,3e-04,8e-04,NA,NA,NA
"DE","DE","NUTS 0",2004,NA,NA,NA,NA,NA,NA,NA,NA
"AT","AT","NUTS 0",2004,4521,0.9619,0.0841,2e-04,0,NA,NA,NA
"CH","CH","NUTS 0",2004,NA,NA,NA,NA,NA,NA,NA,NA
"PL","PL","NUTS 0",2004,NA,NA,NA,NA,NA,NA,NA,NA
"BE","BE","NUTS 0",2004,5275,0.9594,0.1194,0,0,NA,NA,NA
"CZ","CZ","NUTS 0",2004,NA,NA,NA,NA,NA,NA,NA,NA
"SI","SI","NUTS 0",2004,NA,NA,NA,NA,NA,NA,NA,NA
"RO","RO","NUTS 0",2004,NA,NA,NA,NA,NA,NA,NA,NA
"HR","HR","NUTS 0",2004,NA,NA,NA,NA,NA,NA,NA,NA
"BG","BG","NUTS 0",2004,NA,NA,NA,NA,NA,NA,NA,NA
"IT","IT","NUTS 0",2004,24270,0.9368,0.1813,0,0,NA,NA,NA
"GR","GR","NUTS 0",2004,6252,0.9248,0.2076,0,0,NA,NA,NA
"FR","FR","NUTS 0",2004,NA,NA,NA,NA,NA,NA,NA,NA
"SK","SK","NUTS 0",2004,NA,NA,NA,NA,NA,NA,NA,NA
"LI","LI","NUTS 0",2004,NA,NA,NA,NA,NA,NA,NA,NA
"HU","HU","NUTS 0",2004,NA,NA,NA,NA,NA,NA,NA,NA
"TR","TR","NUTS 0",2004,NA,NA,NA,NA,NA,NA,NA,NA
"MT","MT","NUTS 0",2004,NA,NA,NA,NA,NA,NA,NA,NA
"CY","CY","NUTS 0",2004,NA,NA,NA,NA,NA,NA,NA,NA
"PT","PT","NUTS 0",2004,NA,NA,NA,NA,NA,NA,NA,NA
"ES","ES","NUTS 0",2004,15355,0.9404,0.1475,3e-04,1e-04,NA,NA,NA
"NL","NL","NUTS 0",2004,NA,NA,NA,NA,NA,NA,NA,NA
"NO","NO","NUTS 0",2004,NA,NA,NA,NA,NA,NA,NA,NA
"EE","EE","NUTS 0",2004,3993,0.9842,0.3489,0,0,NA,NA,NA
"LV","LV","NUTS 0",2004,NA,NA,NA,NA,NA,NA,NA,NA
"SE","SE","NUTS 0",2004,NA,NA,NA,NA,NA,NA,NA,NA
"DK","DK","NUTS 0",2004,6866,0.9315,0.068,7e-04,4e-04,NA,NA,NA
"LT","LT","NUTS 0",2004,NA,NA,NA,NA,NA,NA,NA,NA
"IE","IE","NUTS 0",2004,5477,0.9644,0.1088,2e-04,2e-04,NA,NA,NA
