"REGION","NOM_REGION"
"AT1","[AT] Ostösterreich"
"AT2","[AT] Südösterreich"
"AT3","[AT] Westösterreich"
"BE1","[BE] Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest"
"BE3","[BE] Région Wallonne"
"BE2","[BE] Vlaams Gewest"
"BG3","[BG] Severna i Iztochna Bulgaria"
"BG4","[BG] Yugozapadna i Yuzhna Centralna Bulgaria"
"CH0","[CH] Schweiz/Suisse/Svizzera"
"CY0","[CY] Kypros"
"CZ0","[CZ] Česká Republika"
"DE1","[DE] Baden-Württemberg"
"DE2","[DE] Bayern"
"DE3","[DE] Berlin"
"DE4","[DE] Brandenburg"
"DE5","[DE] Bremen"
"DE6","[DE] Hamburg"
"DE7","[DE] Hessen"
"DE8","[DE] Mecklenburg-Vorpommern"
"DE9","[DE] Niedersachsen"
"DEA","[DE] Nordrhein-Westfalen"
"DEB","[DE] Rheinland-Pfalz"
"DEC","[DE] Saarland"
"DED","[DE] Sachsen"
"DEE","[DE] Sachsen-Anhalt"
"DEF","[DE] Schleswig-Holstein"
"DEG","[DE] Thüringen"
"DK0","[DK] Danmark"
"EE0","[EE] Eesti"
"EL3","[EL] Attiki"
"EL6","[EL] Kentriki Ellada"
"EL4","[EL] Nisia Aigaiou, Kriti"
"EL5","[EL] Voreia Ellada"
"EL1","[EL] Βόρεια Ελλάδα"
"EL2","[EL] Κεντρική Ελλάδα"
"ES7","[ES] Canarias"
"ES4","[ES] Centro (E)"
"ES3","[ES] Comunidad de Madrid"
"ES5","[ES] Este"
"ES2","[ES] Noreste"
"ES1","[ES] Noroeste"
"ES6","[ES] Sur"
"FI2","[FI] Åland"
"FI1","[FI] Manner-Suomi"
"FR2","[FR] Bassin Parisien"
"FR7","[FR] Centre-Est"
"FR9","[FR] Départements D'Outre-Mer"
"FRA","[FR] DÉPARTEMENTS D'OUTRE-MER"
"FR4","[FR] Est"
"FR1","[FR] Île De France"
"FR8","[FR] Méditerranée"
"FR3","[FR] Nord - Pas-de-Calais"
"FR5","[FR] Ouest"
"FR6","[FR] Sud-Ouest"
"HR0","[HR] Hrvatska"
"HU3","[HU] Alföld És Észak"
"HU2","[HU] Dunántúl"
"HU1","[HU] Közép-Magyarország"
"IE0","[IE] Ireland"
"IS0","[IS] Ísland"
"ITI","[IT] Centro (I)"
"ITG","[IT] Isole"
"ITH","[IT] Nord-Est"
"ITC","[IT] Nord-Ovest"
"ITF","[IT] Sud"
"LI0","[LI] Liechtenstein"
"LT0","[LT] Lietuva"
"LU0","[LU] Luxembourg (Grand-Duché)"
"LV0","[LV] Latvija"
"ME0","[ME] Црна Гοра"
"MK0","[MK] Поранешната југословенска Република Македонија"
"MT0","[MT] Malta"
"NL1","[NL] Noord-Nederland"
"NL2","[NL] Oost-Nederland"
"NL3","[NL] West-Nederland"
"NL4","[NL] Zuid-Nederland"
"NO0","[NO] Norge"
"PL1","[PL] Centralny"
"PL4","[PL] Północno-zachodni"
"PL6","[PL] Północny"
"PL5","[PL] Południowo-zachodni"
"PL2","[PL] Południowy"
"PL3","[PL] Wschodni"
"PT1","[PT] Continente"
"PT3","[PT] Região Autónoma da Madeira"
"PT2","[PT] Região Autónoma dos Açores"
"RO2","[RO] Macroregiunea doi"
"RO4","[RO] Macroregiunea patru"
"RO3","[RO] Macroregiunea trei"
"RO1","[RO] Macroregiunea unu"
"SE3","[SE] Norra Sverige"
"SE1","[SE] Östra Sverige"
"SE2","[SE] Södra Sverige"
"SE0","[SE] Sverige"
"SI0","[SI] Slovenija"
"SK0","[SK] Slovenská Republika"
"TR6","[TR] Akdeniz"
"TR5","[TR] Bati Anadolu"
"TR8","[TR] Bati Karadeniz"
"TR2","[TR] Bati Marmara"
"TR9","[TR] Dogu Karadeniz"
"TR4","[TR] Dogu Marmara"
"TR3","[TR] Ege"
"TRC","[TR] Guneydogu Anadolu"
"TR1","[TR] Istanbul"
"TRA","[TR] Kuzeydogu Anadolu"
"TR7","[TR] Orta Anadolu"
"TRB","[TR] Ortadogu Anadolu"
"UKF","[UK] East Midlands"
"UKH","[UK] East Of England"
"UKI","[UK] London"
"UKC","[UK] North East"
"UKD","[UK] North West"
"UKN","[UK] Northern Ireland"
"UKM","[UK] Scotland"
"UKJ","[UK] South East"
"UKK","[UK] South West"
"UKL","[UK] Wales"
"UKG","[UK] West Midlands"
"UKE","[UK] Yorkshire and The Humber"
