tab_Transferts,tab_Fifa
FC Barcelona,FC Barcelona
Monaco,AS Monaco
Liverpool,Liverpool
Real Madrid,Real Madrid
Bor. Dortmund,Borussia Dortmund
Juventus,Juventus
Spurs,Tottenham Hotspur
Man Utd,Manchester United
SSC Napoli,Napoli
Santos FC,Santos
Everton,Everton
Southampton,Southampton
VfL Wolfsburg,VfL Wolfsburg
Inter,Inter
Leicester,Leicester City
Chelsea,Chelsea
AC Milan,Milan
Athletic Bilbao,Athletic Club de Bilbao
AS Roma,Roma
RB Leipzig,RB Leipzig
Shakhtar D.,Shakhtar Donetsk
Zenit S-Pb,NA
Olympique Lyon,Olympique Lyonnais
FC Schalke 04,FC Schalke 04
Swansea,Swansea City
Aston Villa,Aston Villa
FC Porto,FC Porto
Bor. M'gladbach,Borussia Mönchengladbach
Flamengo,Fulham
Valencia CF,Valencia CF
Atlético Madrid,Atlético Madrid
US Palermo,Palermo
Newcastle,Newcastle United
TSG Hoffenheim,TSG 1899 Hoffenheim
G. Bordeaux,FC Girondins de Bordeaux
São Paulo,NA
Benfica,SL Benfica
Sporting CP,Sporting CP
Fiorentina,Fiorentina
Villarreal CF,Villarreal CF
GZ Evergrande,Guangzhou Evergrande Taobao FC
AFC Ajax,Ajax
Bayern Munich,FC Bayern München
Watford,Watford
Marseille,Olympique de Marseille
Arsenal,Arsenal
Lazio,Lazio
Sevilla FC,Sevilla FC
Anzhi,NA
LOSC Lille,LOSC Lille
Paris SG,Paris Saint-Germain
PSV Eindhoven,PSV
Internacional,Internacional
Real Sociedad,Real Sociedad
Palmeiras,NA
Man City,Manchester City
Grêmio,Grêmio
Dinamo Moscow,NA
VfB Stuttgart,VfB Stuttgart
Málaga CF,Málaga CF
Bay. Leverkusen,Bayer 04 Leverkusen
OGC Nice,OGC Nice
Sampdoria,Sampdoria
CSKA Moscow,PFC CSKA Moscow
Real Betis,Real Betis
West Ham,West Ham United
1. FC Köln,1. FC Köln
Crystal Palace,Crystal Palace
Burnley,Burnley
Sunderland,Sunderland
1.FSV Mainz 05,1. FSV Mainz 05
Werder Bremen,SV Werder Bremen
Udinese Calcio,Udinese
Parma,Parma
Genoa,Genoa
Atlético-MG,Atlético Mineiro
RSC Anderlecht,RSC Anderlecht
Dynamo Kyiv,Dynamo Kyiv
Torino,Torino
Bologna,Bologna
Toulouse,Toulouse Football Club
Norwich,Norwich City
Charlton,Charlton Athletic
Hellas Verona,Hellas Verona
RB Salzburg,FC Red Bull Salzburg
River Plate,River Plate
Atalanta,Atalanta
Dinamo Zagreb,Dinamo Zagreb
FC Basel,FC Basel 1893
Besiktas,Besiktas JK
Stoke City,Stoke City
AZ Alkmaar,AZ Alkmaar
Blackburn,Blackburn Rovers
Standard Liège,Standard de Liège
Independiente,Independiente
Boca Juniors,Boca Juniors
Portsmouth,Portsmouth
BJ Sinobo Guoan,Beijing Sinobo Guoan FC
Al Sadd,NA
Dep. La Coruña,Deportivo de La Coruña
Real Zaragoza,Real Zaragoza
FC Augsburg,FC Augsburg
FC Lorient,FC Lorient
SC Freiburg,SC Freiburg
Espanyol,RCD Espanyol
Corinthians,NA
Lecce,Lecce
Fulham,Fulham
Wigan,Wigan Athletic
Vasco da Gama,NA
Feyenoord,Feyenoord
Bolton,Bolton Wanderers
Hamburger SV,Hamburger SV
Kuban Krasnodar,NA
Rubin Kazan,NA
Sassuolo,Sassuolo
KRC Genk,KRC Genk
Celta de Vigo,RC Celta
SCO Angers,Angers SCO
Loko Moscow,Lokomotiv Moscow
ZJ Greentown,NA
Olympiacos,Olympiacos CFP
Spartak Moscow,Spartak Moscow
Nottm Forest,Nottingham Forest
Heerenveen,SC Heerenveen
Hertha BSC,Hertha BSC
FC Metz,FC Metz
Fluminense,Fluminense
Middlesbrough,Middlesbrough
Leeds,Leeds United
Hull City,Hull City
Stade Rennais,Stade Rennais FC
Vitesse,Vitesse
Fenerbahce,Fenerbahçe SK
Braga,SC Braga
Galatasaray,Galatasaray SK
Racing Club,Racing Club
Montpellier,Montpellier HSC
Celtic,Celtic
Cruzeiro,Cruzeiro
Bari,NA
Cagliari Calcio,Cagliari
Metalist,NA
Wolves,Wolverhampton Wanderers
Vélez Sarsfield,Vélez Sarsfield
CF Pachuca,Pachuca
Granada CF,Granada CF
Club Brugge,Club Brugge KV
FC Sion,FC Sion
JS Suning,Jiangsu Suning FC
Saint-Étienne,AS Saint-Étienne
Chivas,Guadalajara
Racing,NA
RCD Mallorca,RCD Mallorca
Desp. Brasil,NA
FC Twente,NA
R. Strasbourg,RC Strasbourg Alsace
West Brom,West Bromwich Albion
U. de Chile,Universidad de Chile
Basaksehir,NA
QPR,Queens Park Rangers
CA Osasuna,CA Osasuna
Reggina,NA
Rangers,Rangers FC
Bristol City,Bristol City
Birmingham,Birmingham City
UD Las Palmas,UD Las Palmas
SD Luneng,Shandong Luneng TaiShan FC
Brentford,Brentford
AJ Auxerre,AJ Auxerre
Catania,NA
Partizan,NA
Pescara,Pescara
Al-Jazira,NA
Bournemouth,Bournemouth
BSC Young Boys,BSC Young Boys
CD Leganés,CD Leganés
Instituto,NA
Derby,Derby County
América,Club América
Newell's,Newell's Old Boys
YB Funde,NA
Ipswich,Ipswich Town
Sheffield Utd.,Sheffield United
Huddersfield,Huddersfield Town
Hilal,Al Hilal
GZ R&F,Guangzhou R&F; FC
Heart of Midl.,Heart of Midlothian
Hajduk Split,NA
Cardiff,Cardiff City
Al-Ahli (UAE),Al Ahli
Santos Laguna,Santos Laguna
Preston NE,Preston North End
Brighton,Brighton & Hove Albion
FC Empoli,Empoli
Recr. Huelva,NA
FC Groningen,FC Groningen
Siena,NA
Getafe CF,Getafe CF
Lens,Racing Club de Lens
FC Sochaux,FC Sochaux-Montbéliard
Levante UD,Levante UD
FC Nantes,FC Nantes
FC Barcelona B,FC Barcelona
Al Arabi,NA
CA Rosario,FC Porto
KV Oostende,KV Oostende
SD Eibar,SD Eibar
Chievo Verona,Chievo Verona
Dijon,Dijon FCO
Rio Ave FC,Rio Ave FC
Vancouver,Vancouver Whitecaps FC
HN Jianye,Henan Jianye FC
Atl. Nacional,Atlético Nacional
Al-Ettifaq,Ettifaq FC
Baniyas SC,NA
Liaoning FC,NA
Nordsjaelland,FC Nordsjælland
BJ Renhe,NA
Maldonado,NA
FCS Bucharest,NA
Botafogo,Botafogo
E. Frankfurt,Eintracht Frankfurt
Roda JC,NA
Estudiantes,Estudiantes de La Plata
AS Nancy,AS Nancy Lorraine
Portuguesa,NA
Kayserispor,Kayserispor
Karabükspor,NA
HNK Rijeka,NA
Al-Ain FC,NA
SM Caen,Stade Malherbe Caen
KAA Gent,KAA Gent
Reims,Stade de Reims
Chiapas FC,NA
Vit. Guimarães,Vitória Guimarães
Bröndby IF,Brøndby IF
Colo Colo,Colo-Colo
Trabzonspor,Trabzonspor
Lanús,Club Atlético Lanús
FC Copenhagen,FC København
Tigres UANL,Tigres U.A.N.L.
AIK Solna,AIK
Le Mans,NA
Brescia,Brescia
FC Zürich,FC Zürich
FC Utrecht,FC Utrecht
Sparta Praha,Sparta Praha
Argentinos,Argentinos Juniors
Zorya Lugansk,NA
Blackpool,Blackpool
KV Mechelen,NA
UD Almería,UD Almería
Gaziantepspor,NA
Stade Brest 29,Stade Brestois 29
Nacional,CD Nacional
Al Rayyan,NA
Monterrey,Monterrey
AS Livorno,Livorno
Hannover 96,Hannover 96
Atlético-PR,Atlético Paranaense
Zulte Waregem,SV Zulte-Waregem
KAS Eupen,KAS Eupen
Rostov,NA
AC Le Havre,Le Havre AC
SC Amiens,Amiens SC
Huracán,Club Atlético Huracán
Rayo Vallecano,Rayo Vallecano
FC Midtjylland,FC Midtjylland
Reading,Reading
Club Tijuana,Club Tijuana
Juventude,NA
Gamba Osaka,Gamba Osaka
FC São Paulo B,NA
Krasnodar,NA
Crewe Alexandra,Crewe Alexandra
Guingamp,En Avant de Guingamp
San Lorenzo,San Lorenzo de Almagro
Bursaspor,Bursaspor
Rapid Vienna,SK Rapid Wien
Ludogorets,NA
Osmanlispor,NA
Ascoli,Ascoli
CA Banfield,Club Atlético Banfield
León,Club León
RC Cesena,NA
Eskisehirspor,NA
Ahly,NA
M. Tel Aviv,NA
Elche CF,Elche CF
Paços Ferreira,NA
Feirense,CD Feirense
Atlas,Club Atlas
1.FC Nuremberg,1. FC Nürnberg
Austria Vienna,FK Austria Wien
Red Star,Red Star FC
UNAM Pumas,U.N.A.M
Deportivo Cali,Deportivo Cali
Sporting Gijón,Sporting CP
FC Ingolstadt,FC Ingolstadt 04
Peterborough,Peterborough United
Shabab,Al Shabab
SH Shenxin,NA
UC AlbinoLeffe,NA
MK Dons,NA
Hibernian FC,Hibernian
NY Red Bulls,New York Red Bulls
CFR Cluj,NA
Inter U19,Inter
Morelia,Monarcas Morelia
CD Cruz Azul,Cruz Azul
Ternana,NA
Iraty SC,NA
Arezzo,NA
Coventry City,Coventry City
VVV-Venlo,VVV-Venlo
Tombense,NA
Dnipro,NA
RS Berkane,NA
Metalurh D.,NA
Panathinaikos,Panathinaikos FC
Nagoya Grampus,Nagoya Grampus
Real Valladolid,Real Valladolid CF
Arsenal FC,Arsenal
Akhisarspor,Akhisar Belediyespor
Toluca,Deportivo Toluca
DL Yifang,Dalian YiFang FC
Coimbra-MG,NA
Malmö FF,Malmö FF
Pol. Warsaw,NA
Al Gharafa,NA
Goiás EC,NA
Hamilton Acad.,Hamilton Academical FC
Grosseto,NA
Junior FC,Junior FC
Coritiba FC,NA
Treviso,NA
Tom Tomsk,NA
Willem II,Willem II
Manisaspor,NA
Troyes,Tromsø IL
Kalmar FF,Kalmar FF
FK Lyn,NA
Valenciennes FC,Valenciennes FC
Rapid Bucharest,NA
Aalesund,NA
Novara,NA
Dinamo Bukarest,NA
Pohang Steelers,Pohang Steelers
Portimonense,Portimonense SC
Cittadella,Cittadella
Perugia,Perugia
Barcelona SC,NA
Necaxa,Club Necaxa
KSC Lokeren,Sporting Lokeren
Helsingborg,NA
Ferencváros,NA
Lech Poznan,Lech Poznan
EC Bahia,Bahia
VfL Bochum,VfL Bochum 1848
Piacenza,NA
Odense BK,Odds BK
Paraná,Paraná
Torpedo Moscow,NA
Colchester Utd.,Colchester United
Slavia Prag,SK Slavia Praha
FK Moskau,NA
Molde FK,Molde FK
Belgrano,Belgrano de Córdoba
RNK Split,NA
QD Jonoon,NA
Legia Warszawa,Legia Warszawa
Quilmes,NA
Esperance,NA
Grasshoppers,Grasshopper Club Zürich
Peñarol,NA
SC Bastia,NA
Alavés,Deportivo Alavés
IFK Göteborg,IFK Göteborg
FK Teplice,NA
Stabaek IF,Stabæk Fotball
Toronto FC,Toronto FC
Sparta R.,NA
Neuchâtel Xamax,Neuchâtel Xamax
CD Godoy Cruz,Godoy Cruz
EC Vitória,Vitória
Tigre,Tigres U.A.N.L.
PAOK Saloniki,PAOK
Hércules CF,Elche CF
1.FC K'lautern,FC Luzern
Genclerbirligi,NA
Rentistas,NA
Viktoria Plzen,Viktoria Plzen
KS Samara,NA
Rimini,NA
AEK Athens,AEK Athens
Vasco U17,NA
Wisla Kraków,Wisla Kraków
Sheff Wed,Sheffield Wednesday
Kasimpasa,Kasimpasa SK
SK Brann,SK Brann
Audax Italiano,Audax Italiano
Colón,Club Atlético Colón
Kashiwa Reysol,Kashiwa Reysol
Rosenborg BK,Rosenborg BK
Elfsborg,IF Elfsborg
FC Bayern II,FC Bayern München
Metalurh Z.,NA
Revolution,NA
Örgryte,NA
Gimnasia,Gimnasia y Esgrima La Plata
Arsenal U23,Arsenal
Cobreloa,NA
Cerro Porteño,NA
JEF Utd. Chiba,NA
Sheriff,NA
Kashima Antlers,Kashima Antlers
Albacete,Albacete BP
Valerenga,Vålerenga Fotball
Modena,NA
KSK Beveren,Waasland-Beveren
Grodzisk,NA
Marítimo,Clube Sport Marítimo
Arm. Bielefeld,DSC Arminia Bielefeld
Lok. Plovdiv,NA
Zbrojovka Brno,NA
Chicago Fire,Chicago Fire
Egaleo AO,NA
Östers IF,Östersunds FK
SIPG,Shanghai SIPG FC
TJ Quanjian,Tianjin Quanjian FC
CC Yatai,NA
HB CFFC,Hebei China Fortune FC
SH Shenhua,Shanghai Greenland Shenhua FC
Atlanta United,Atlanta United
TJ Teda,Tianjin TEDA FC
CQ Dangdai Lif.,Chongqing Dangdai Lifan FC SWM Team
El-Jaish,NA
SZ FC,NA
Ahli,Al Ahli
Nasr,Al Nassr
Pyramids FC,NA
Ittihad,Al Ittihad
Al-Nasr,Al Nassr
Sounders FC,Seattle Sounders FC
Benfica B,SL Benfica
Los Angeles,Los Angeles FC
Sharjah FC,NA
Umm Salal,NA
Los Angeles FC,Los Angeles FC
Al Duhail,NA
Real Murcia,NA
Al-Wahda FC,NA
Padova,Padova
Urawa Reds,Urawa Red Diamonds
Girona FC,Girona FC
Benevento,Benevento
SPAL,SPAL
Akhmat Grozny,NA
Al-Wasl,NA
Saturn,NA
Milan U19,Milan
Al-Shabab,Al Shabab
Tiburones Rojos,Tiburones Rojos de Veracruz
Suwon Bluewings,Suwon Samsung Bluewings
Ulsan,Ulsan Hyundai FC
Al Ahli,Al Ahli
