"Clubs",seller,buyer,sells,buys,PV,ROI,VolumeCash,poidsmarket,achat_moyen,vente_moyen,Pays,Ville,lon,lat
FC Barcelona,25,49,616750000,1357690000,-740940000,-54.5735771788847,1974440000,5.3375778256249,27707959.1836735,24670000,Espagne,Barcelone,2.0775232881348,41.4218301175949
Monaco,35,47,835380000,594810000,240570000,40.4448479346346,1430190000,3.86628635482997,12655531.9148936,23868000,France,Monaco,7.4197576,43.7311424
Liverpool,45,67,720810000,1258470000,-537660000,-42.723306872631,1979280000,5.35066197944878,18783134.3283582,16018000,Angleterre,Liverpool,-3.01904219845027,53.4434674867325
Real Madrid,47,63,798850000,1346100000,-547250000,-40.65448332219,2144950000,5.79852391416003,21366666.6666667,16996808.5106383,Espagne,Madrid,-3.60674615579143,40.307547202825
Bor. Dortmund,29,37,544800000,450400000,94400000,20.9591474245115,995200000,2.69036154659645,12172972.972973,18786206.8965517,Allemagne,Dortmund,7.4652789,51.5142273
Juventus,47,71,603180000,1150380000,-547200000,-47.5668909403849,1753560000,4.74046462384413,16202535.2112676,12833617.0212766,Italie,Turin,7.75043714667512,45.1210484820598
Spurs,56,72,674200000,892260000,-218060000,-24.4390648465694,1566460000,4.23467016507383,12392500,12039285.7142857,Angleterre,Londres,-0.191014754050279,51.4877954206626
Man Utd,29,48,397990000,1235280000,-837290000,-67.7813936921184,1633270000,4.4152801479196,25735000,13723793.1034483,Angleterre,Manchester,-2.13161278057973,53.4725988493453
SSC Napoli,16,52,344150000,572950000,-228800000,-39.9336765860895,917100000,2.47923088262018,11018269.2307692,21509375,Italie,Naples,14.2487826,40.8359336
Santos FC,16,5,241400000,30500000,210900000,691.475409836066,271900000,0.735037484444911,6100000,15087500,Brésil,Santos,-46.333889,-23.960833
Everton,23,45,362600000,610370000,-247770000,-40.593410554254,972970000,2.63026635248387,13563777.7777778,15765217.3913043,Angleterre,Liverpool,-3.08510020415947,53.2983672479809
Southampton,21,32,428180000,404490000,23690000,5.85675789265495,832670000,2.25098809184533,12640312.5,20389523.8095238,Angleterre,Southampton,-1.404189,50.9025349
VfL Wolfsburg,17,44,311350000,439150000,-127800000,-29.101673687806,750500000,2.0288548439717,9980681.81818182,18314705.8823529,Allemagne,Wolfsburg,10.7861682,52.4205588
Inter,49,66,759880000,899890000,-140010000,-15.5585682694552,1659770000,4.48691859344292,13634696.969697,15507755.1020408,Italie,Milan,9.28591468178209,45.4012543862051
Leicester,7,20,174900000,293600000,-118700000,-40.4291553133515,468500000,1.26651365010092,14680000,24985714.2857143,Angleterre,Leicester,-1.1330789,52.6361398
Chelsea,48,63,784780000,1360800000,-576020000,-42.3295120517343,2145580000,5.80022701682719,21600000,16349583.3333333,Angleterre,Londres,-0.24129807448467,51.4017056440945
AC Milan,33,48,405850000,647900000,-242050000,-37.3591603642537,1053750000,2.84864196113948,13497916.6666667,12298484.8484848,Italie,Milan,9.13388735371184,45.4725497770607
Athletic Bilbao,5,8,1.59e+08,93300000,65700000,70.4180064308682,252300000,0.682052068133325,11662500,31800000,Espagne,Bilbao,-2.9349915,43.2630051
AS Roma,37,60,623700000,603080000,20620000,3.41911520859587,1226780000,3.31640046034324,10051333.3333333,16856756.7567568,Italie,Rome,12.4724718061399,41.9215462364059
RB Leipzig,4,15,93200000,188200000,-9.5e+07,-50.4782146652497,281400000,0.760719191330629,12546666.6666667,23300000,Allemagne,Leipzig,12.3747329,51.3406321
Shakhtar D.,19,24,364200000,220850000,143350000,64.9083088068825,585050000,1.58158764352518,9202083.33333333,19168421.0526316,Ukraine,Donetsk,37.9196663723732,47.9482470827536
Zenit S-Pb,15,35,204300000,413500000,-209200000,-50.5925030229746,617800000,1.67012194884173,11814285.7142857,13620000,Russie,Saint-Petersbourg,30.316229,59.938732
Olympique Lyon,33,40,482900000,396250000,86650000,21.8675078864353,879150000,2.37663922195566,9906250,14633333.3333333,France,Lyon,4.8320114,45.7578137
