"tab_Transferts";"Club.x";"Club.y";"Club.Logo1"
"FC Barcelona";"FC Barcelona";"FC Barcelona";"https://cdn.sofifa.org/teams/2/light/241.png"
"Monaco";"AS Monaco";"AS Monaco";"https://cdn.sofifa.org/teams/2/light/69.png"
"Liverpool";"Liverpool";"Liverpool";"https://cdn.sofifa.org/teams/2/light/9.png"
"Real Madrid";"Real Madrid";"Real Madrid";"https://cdn.sofifa.org/teams/2/light/243.png"
"Bor. Dortmund";"Borussia Dortmund";"Borussia Dortmund";"https://cdn.sofifa.org/teams/2/light/22.png"
"Juventus";"Juventus";"Juventus";"https://cdn.sofifa.org/teams/2/light/45.png"
"Spurs";"Tottenham Hotspur";"Tottenham Hotspur";"https://cdn.sofifa.org/teams/2/light/18.png"
"Man Utd";"Manchester United";"Manchester United";"https://cdn.sofifa.org/teams/2/light/11.png"
"SSC Napoli";"Napoli";"Napoli";"https://cdn.sofifa.org/teams/2/light/48.png"
"Santos FC";"Santos";"Santos";"https://cdn.sofifa.org/teams/2/light/1053.png"
"Everton";"Everton";"Everton";"https://cdn.sofifa.org/teams/2/light/7.png"
"Southampton";"Southampton";"Southampton";"https://cdn.sofifa.org/teams/2/light/17.png"
"VfL Wolfsburg";"VfL Wolfsburg";"VfL Wolfsburg";"https://cdn.sofifa.org/teams/2/light/175.png"
"Inter";"Inter";"Inter";"https://cdn.sofifa.org/teams/2/light/44.png"
"Leicester";"Leicester City";"Leicester City";"https://cdn.sofifa.org/teams/2/light/95.png"
"Chelsea";"Chelsea";"Chelsea";"https://cdn.sofifa.org/teams/2/light/5.png"
"AC Milan";"Milan";"Milan";"https://cdn.sofifa.org/teams/2/light/47.png"
"Athletic Bilbao";"Athletic Club de Bilbao";"Athletic Club de Bilbao";"https://cdn.sofifa.org/teams/2/light/448.png"
"AS Roma";"Roma";"Roma";"https://cdn.sofifa.org/teams/2/light/52.png"
"RB Leipzig";"RB Leipzig";"RB Leipzig";"https://cdn.sofifa.org/teams/2/light/112172.png"
"Shakhtar D.";"Shakhtar Donetsk";"Shakhtar Donetsk";"https://cdn.sofifa.org/teams/2/light/101059.png"
"Zenit S-Pb";"Zenit S-Pb";NA;NA
"Olympique Lyon";"Olympique Lyonnais";"Olympique Lyonnais";"https://cdn.sofifa.org/teams/2/light/66.png"
"FC Schalke 04";"FC Schalke 04";"FC Schalke 04";"https://cdn.sofifa.org/teams/2/light/34.png"
"Swansea";"Swansea City";"Swansea City";"https://cdn.sofifa.org/teams/2/light/1960.png"
"Aston Villa";"Aston Villa";"Aston Villa";"https://cdn.sofifa.org/teams/2/light/2.png"
"FC Porto";"FC Porto";"FC Porto";"https://cdn.sofifa.org/teams/2/light/236.png"
"Bor. M'gladbach";"Borussia Mönchengladbach";"Borussia Mönchengladbach";"https://cdn.sofifa.org/teams/2/light/23.png"
"Flamengo";"Fulham";"Fulham";"https://cdn.sofifa.org/teams/2/light/144.png"
"Valencia CF";"Valencia CF";"Valencia CF";"https://cdn.sofifa.org/teams/2/light/461.png"
"Atlético Madrid";"Atlético Madrid";"Atlético Madrid";"https://cdn.sofifa.org/teams/2/light/240.png"
"US Palermo";"Palermo";"Palermo";"https://cdn.sofifa.org/teams/2/light/1843.png"
"Newcastle";"Newcastle United";"Newcastle United";"https://cdn.sofifa.org/teams/2/light/13.png"
"TSG Hoffenheim";"TSG 1899 Hoffenheim";"TSG 1899 Hoffenheim";"https://cdn.sofifa.org/teams/2/light/10029.png"
"G. Bordeaux";"FC Girondins de Bordeaux";"FC Girondins de Bordeaux";"https://cdn.sofifa.org/teams/2/light/59.png"
"São Paulo";"São Paulo";NA;NA
"Benfica";"SL Benfica";"SL Benfica";"https://cdn.sofifa.org/teams/2/light/234.png"
"Sporting CP";"Sporting CP";"Sporting CP";"https://cdn.sofifa.org/teams/2/light/237.png"
"Fiorentina";"Fiorentina";"Fiorentina";"https://cdn.sofifa.org/teams/2/light/110374.png"
