Name;Position;Age;Team_from;League_from;Team_to;League_to;Season;Market_value;Transfer_fee;ROI;PV
Neymar;Left Winger;25;FC Barcelona;LaLiga;Paris SG;Ligue 1;2017-2018;100000000;222000000;1.22;122000000
Kylian Mbappé;Right Winger;19;Monaco;Ligue 1;Paris SG;Ligue 1;2018-2019;120000000;135000000;0.125;15000000
Philippe Coutinho;Attacking Midfield;25;Liverpool;Premier League;FC Barcelona;LaLiga;2017-2018;90000000;125000000;0.388888888888889;35000000
Cristiano Ronaldo;Centre-Forward;33;Real Madrid;LaLiga;Juventus;Serie A;2018-2019;100000000;117000000;0.17;17000000
Ousmane Dembélé;Right Winger;20;Bor. Dortmund;1.Bundesliga;FC Barcelona;LaLiga;2017-2018;33000000;115000000;2.48484848484848;82000000
Paul Pogba;Central Midfield;23;Juventus;Serie A;Man Utd;Premier League;2016-2017;70000000;105000000;0.5;35000000
Gareth Bale;Right Winger;24;Spurs;Premier League;Real Madrid;LaLiga;2013-2014;65000000;101000000;0.553846153846154;36000000
Cristiano Ronaldo;Centre-Forward;24;Man Utd;Premier League;Real Madrid;LaLiga;2009-2010;60000000;94000000;0.566666666666667;34000000
Gonzalo Higuaín;Centre-Forward;28;SSC Napoli;Serie A;Juventus;Serie A;2016-2017;65000000;90000000;0.384615384615385;25000000
Neymar;Left Winger;21;Santos FC;Série A;FC Barcelona;LaLiga;2013-2014;50000000;88200000;0.764;38200000
Romelu Lukaku;Centre-Forward;24;Everton;Premier League;Man Utd;Premier League;2017-2018;50000000;84700000;0.694;34700000
Luis Suárez;Centre-Forward;27;Liverpool;Premier League;FC Barcelona;LaLiga;2014-2015;52000000;81720000;0.571538461538462;29720000
Virgil van Dijk;Centre-Back;26;Southampton;Premier League;Liverpool;Premier League;2017-2018;30000000;78800000;1.62666666666667;48800000
Zinédine Zidane;Attacking Midfield;29;Juventus;Serie A;Real Madrid;LaLiga;2001-2002;NA;77500000;NA;NA
